,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
15621,NOROCCIDENTE,ANTIOQUIA,REDCO,TIENDAS,TIENDAS,INDIRECTA,1,42.0,BA,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43285344
15620,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,31.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43284463
15619,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,154.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43283839
15618,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,3.0,TO,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43281841
15617,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,SE,0.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,43279833
15614,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,13.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,43279340
15611,NOROCCIDENTE,ANTIOQUIA,GPON,CONTACT,SAC,INDIRECTA,3,13.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43279282
15610,EJE CAFETERO,VALLE DEL CAUCA,HFC,RETAIL,RETAIL,INDIRECTA,SE,,BA,Individual,,,0,0,0,0,0,0,0,0,0,43278955
15607,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,6,37.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,43277909
15605,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,5,41.0,TO+TV,Duo,1.0,Navegacion Lenta,0,0,0,0,0,0,0,0,0,43276963
15604,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,28.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43276840
15603,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,3,179.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43276485
15602,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,48.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43275229
15600,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,3.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43274371
15599,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,51.0,BA,Individual,1.0,No navega,0,1,0,0,0,0,0,1,0,43274310
